Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Melbourne,Gold Coast,Melbourne - Gold Coast,118.0,175.512605
2010,1,201001,Melbourne,Mildura,Melbourne - Mildura,174.0,258.8067227
2010,1,201001,Melbourne,Perth,Melbourne - Perth,316.0,470.0168067
2010,1,201001,Melbourne,Sydney,Melbourne - Sydney,56.0,83.29411765
2010,1,201001,Melbourne,Newcastle,Melbourne - Newcastle,144.0,214.1848739
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136.0,202.2857143
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150.0,223.1092437
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358.0,532.487395
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66.0,98.16806723
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150.0,223.1092437
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186.0,276.6554622
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198.0,294.5042017
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376.0,559.2605042
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66.0,98.16806723
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158.0,235.0084034
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117.0,172.9352818
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178.0,263.0981211
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296.0,437.5114823
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57.0,84.25052192
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108.0,159.6325678
2010,5,201005,Melbourne,Gold Coast,Melbourne - Gold Coast,156.0,230.5803758
2010,5,201005,Melbourne,Mildura,Melbourne - Mildura,198.0,292.6597077
2010,5,201005,Melbourne,Perth,Melbourne - Perth,126.0,186.2379958
2010,5,201005,Melbourne,Sydney,Melbourne - Sydney,56.0,82.77244259
2010,5,201005,Melbourne,Newcastle,Melbourne - Newcastle,144.0,212.8434238
2010,6,201006,Melbourne,Gold Coast,Melbourne - Gold Coast,128.0,189.1941545
2010,6,201006,Melbourne,Mildura,Melbourne - Mildura,124.0,183.2818372
