Country,Month,Arrivals
New Zealand,Jul 2019,133630
China,Jul 2019,150390
UK,Jul 2019,39300
USA,Jul 2019,61530
Japan,Jul 2019,43000
Singapore,Jul 2019,34020
South Korea,Jul 2019,20930
India,Jul 2019,26040
Hong Kong,Jul 2019,31110
Taiwan,Jul 2019,17180
New Zealand,Jul 2023,115960
China,Jul 2023,79040
UK,Jul 2023,32990
USA,Jul 2023,55980
Japan,Jul 2023,30540
Singapore,Jul 2023,23560
South Korea,Jul 2023,22950
India,Jul 2023,24120
Hong Kong,Jul 2023,18450
Taiwan,Jul 2023,14120
New Zealand,Jul 2024,121320
China,Jul 2024,103840
UK,Jul 2024,32840
USA,Jul 2024,42030
Japan,Jul 2024,33240
Singapore,Jul 2024,27300
South Korea,Jul 2024,31090
India,Jul 2024,26860
Hong Kong,Jul 2024,21430
Taiwan,Jul 2024,19790
New Zealand,Jul 2025,122910
China,Jul 2025,112900
UK,Jul 2025,56460
USA,Jul 2025,50090
Japan,Jul 2025,36210
Singapore,Jul 2025,34300
South Korea,Jul 2025,29720
India,Jul 2025,28560
Hong Kong,Jul 2025,27000
Taiwan,Jul 2025,23660
